[GIN] 2024/11/18 - 12:29:24 | 200 |    2.449901ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:25 | 204 |      14.828µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_ciamis___kabupaten_pangandaran"
[GIN] 2024/11/18 - 12:29:25 | 200 |   52.512101ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_ciamis___kabupaten_pangandaran"
[GIN] 2024/11/18 - 12:29:25 | 200 |    5.699461ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:25 | 204 |      16.743µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_bogor___kabupaten_cianjur"
[GIN] 2024/11/18 - 12:29:25 | 200 |    61.74107ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bogor___kabupaten_cianjur"
[GIN] 2024/11/18 - 12:29:25 | 200 |    2.524449ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:26 | 204 |      15.604µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_purwakarta___kabupaten_cianjur"
[GIN] 2024/11/18 - 12:29:26 | 200 |     57.2722ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_purwakarta___kabupaten_cianjur"
[GIN] 2024/11/18 - 12:29:26 | 200 |    2.726304ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:27 | 404 |    5.300577ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_purwakarta___kabupaten_cianjur"
[GIN] 2024/11/18 - 12:29:27 | 204 |      30.741µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_bogor___kota_bekasi"
[GIN] 2024/11/18 - 12:29:27 | 200 |   53.408627ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bogor___kota_bekasi"
[GIN] 2024/11/18 - 12:29:27 | 200 |    2.708059ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:28 | 204 |      13.957µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_kuningan___kabupaten_cilacap"
[GIN] 2024/11/18 - 12:29:28 | 200 |    49.03089ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_kuningan___kabupaten_cilacap"
[GIN] 2024/11/18 - 12:29:28 | 200 |    2.665577ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:28 | 204 |      14.597µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_bandung___kota_cimahi"
[GIN] 2024/11/18 - 12:29:28 | 200 |   53.842936ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bandung___kota_cimahi"
[GIN] 2024/11/18 - 12:29:28 | 200 |    2.770262ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:29 | 404 |    5.608266ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bandung___kota_cimahi"
[GIN] 2024/11/18 - 12:29:29 | 204 |      14.753µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_cirebon___kota_cirebon"
[GIN] 2024/11/18 - 12:29:29 | 200 |   53.741589ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_cirebon___kota_cirebon"
[GIN] 2024/11/18 - 12:29:29 | 200 |    1.033507ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:29 | 404 |    1.440423ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_cirebon___kota_cirebon"
[GIN] 2024/11/18 - 12:29:29 | 204 |       4.857µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_bogor___kabupaten_bekasi"
[GIN] 2024/11/18 - 12:29:29 | 200 |   41.706538ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bogor___kabupaten_bekasi"
[GIN] 2024/11/18 - 12:29:29 | 200 |    2.558619ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:30 | 404 |    5.731289ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bogor___kabupaten_bekasi"
